State,Year,Quater,District,D_Count,D_Amount
andaman-&-nicobar-islands,2020,2,nicobars,3,565.0
andaman-&-nicobar-islands,2020,3,south andaman,35,13651.0
andaman-&-nicobar-islands,2020,4,south andaman,109,137494.0
andaman-&-nicobar-islands,2021,1,south andaman,164,167044.0
andaman-&-nicobar-islands,2021,2,south andaman,105,121104.0
andaman-&-nicobar-islands,2021,3,south andaman,182,223699.0
andaman-&-nicobar-islands,2021,4,south andaman,632,800758.0
andaman-&-nicobar-islands,2022,1,south andaman,692,982206.0
andaman-&-nicobar-islands,2022,2,south andaman,430,633029.0
andaman-&-nicobar-islands,2022,3,south andaman,535,687813.0
andaman-&-nicobar-islands,2022,4,south andaman,750,1114857.0
andaman-&-nicobar-islands,2023,1,south andaman,872,1172083.0
andaman-&-nicobar-islands,2023,2,south andaman,670,1060976.0
andaman-&-nicobar-islands,2023,3,south andaman,682,1052324.0
andaman-&-nicobar-islands,2023,4,south andaman,1006,1504528.0
andaman-&-nicobar-islands,2024,1,south andaman,1190,1657627.0
andaman-&-nicobar-islands,2024,2,south andaman,974,1513489.0
andaman-&-nicobar-islands,2024,3,south andaman,1044,1530179.0
andaman-&-nicobar-islands,2024,4,south andaman,1085,1670015.0
andhra-pradesh,2020,2,visakhapatnam,3504,614212.0
andhra-pradesh,2020,3,visakhapatnam,7906,1892376.0
andhra-pradesh,2020,4,visakhapatnam,3464,2203761.0
andhra-pradesh,2021,1,visakhapatnam,4006,2403199.0
andhra-pradesh,2021,2,prakasam,5308,2719134.0
andhra-pradesh,2021,3,visakhapatnam,4044,3191769.0
andhra-pradesh,2021,4,visakhapatnam,4176,5425896.0
andhra-pradesh,2022,1,visakhapatnam,5196,6953446.0
andhra-pradesh,2022,2,visakhapatnam,5851,7046107.0
andhra-pradesh,2022,3,visakhapatnam,6720,7779967.0
andhra-pradesh,2022,4,visakhapatnam,7636,9911879.0
andhra-pradesh,2023,1,visakhapatnam,6752,9502319.0
andhra-pradesh,2023,2,visakhapatnam,7000,8910217.0
andhra-pradesh,2023,3,visakhapatnam,8972,11107138.0
andhra-pradesh,2023,4,visakhapatnam,8787,12027284.0
andhra-pradesh,2024,1,visakhapatnam,9034,12016206.0
andhra-pradesh,2024,2,visakhapatnam,9077,12170419.0
andhra-pradesh,2024,3,visakhapatnam,8553,12088761.0
andhra-pradesh,2024,4,visakhapatnam,9897,13254184.0
arunachal-pradesh,2020,2,papum pare,33,6304.0
arunachal-pradesh,2020,3,papum pare,60,15776.0
arunachal-pradesh,2020,4,papum pare,48,21298.0
arunachal-pradesh,2021,1,papum pare,65,62651.0
arunachal-pradesh,2021,2,papum pare,69,89335.0
arunachal-pradesh,2021,3,papum pare,50,95368.0
arunachal-pradesh,2021,4,papum pare,128,232985.0
arunachal-pradesh,2022,1,papum pare,149,339981.0
arunachal-pradesh,2022,2,papum pare,310,752159.0
arunachal-pradesh,2022,3,papum pare,250,590296.0
arunachal-pradesh,2022,4,papum pare,249,557453.0
arunachal-pradesh,2023,1,papum pare,214,609907.0
arunachal-pradesh,2023,2,papum pare,261,767297.0
arunachal-pradesh,2023,3,papum pare,285,696186.0
arunachal-pradesh,2023,4,papum pare,318,852980.0
arunachal-pradesh,2024,1,papum pare,415,902815.0
arunachal-pradesh,2024,2,papum pare,361,844112.0
arunachal-pradesh,2024,3,itanagar capital complex,218,512620.0
arunachal-pradesh,2024,4,itanagar capital complex,240,638964.0
assam,2020,2,kamrup metropolitan,388,73071.0
assam,2020,3,kamrup metropolitan,698,186125.0
assam,2020,4,kamrup metropolitan,626,534531.0
assam,2021,1,kamrup metropolitan,909,638404.0
assam,2021,2,kamrup metropolitan,910,790743.0
assam,2021,3,kamrup metropolitan,1130,1219595.0
assam,2021,4,kamrup metropolitan,2250,2848340.0
assam,2022,1,kamrup metropolitan,3580,5037571.0
assam,2022,2,kamrup metropolitan,2330,3272854.0
assam,2022,3,kamrup metropolitan,3502,4613053.0
assam,2022,4,kamrup metropolitan,5835,7067068.0
assam,2023,1,kamrup metropolitan,5668,7671824.0
assam,2023,2,kamrup metropolitan,4012,5898627.0
assam,2023,3,kamrup metropolitan,4860,6709390.0
assam,2023,4,kamrup metropolitan,5317,7719481.0
assam,2024,1,kamrup metropolitan,6122,8448944.0
assam,2024,2,kamrup metropolitan,4266,6790945.0
assam,2024,3,kamrup metropolitan,3855,6666759.0
assam,2024,4,kamrup metropolitan,4694,7306786.0
bihar,2020,2,patna,685,126689.0
bihar,2020,3,patna,1926,427322.0
bihar,2020,4,patna,1831,1396144.0
bihar,2021,1,patna,2101,1349311.0
bihar,2021,2,patna,2844,2420477.0
bihar,2021,3,patna,4025,3635269.0
bihar,2021,4,patna,5114,5291931.0
bihar,2022,1,patna,4444,5436425.0
bihar,2022,2,patna,4980,5796863.0
bihar,2022,3,patna,6711,7663832.0
bihar,2022,4,patna,7741,8886520.0
bihar,2023,1,patna,6401,7935610.0
bihar,2023,2,patna,7312,9370034.0
bihar,2023,3,patna,10764,12203806.0
bihar,2023,4,patna,9152,12139703.0
bihar,2024,1,patna,8766,12210439.0
bihar,2024,2,patna,8676,12515913.0
bihar,2024,3,patna,10836,14766457.0
bihar,2024,4,patna,12285,17467167.0
chandigarh,2020,2,chandigarh,149,29537.0
chandigarh,2020,3,chandigarh,264,70969.0
chandigarh,2020,4,chandigarh,200,153341.0
chandigarh,2021,1,chandigarh,338,238576.0
chandigarh,2021,2,chandigarh,378,310943.0
chandigarh,2021,3,chandigarh,494,469634.0
chandigarh,2021,4,chandigarh,710,835813.0
chandigarh,2022,1,chandigarh,792,1150932.0
chandigarh,2022,2,chandigarh,1330,1874959.0
chandigarh,2022,3,chandigarh,1533,1998439.0
chandigarh,2022,4,chandigarh,1403,2024528.0
chandigarh,2023,1,chandigarh,1520,2415574.0
chandigarh,2023,2,chandigarh,1704,2501107.0
chandigarh,2023,3,chandigarh,1883,2660630.0
chandigarh,2023,4,chandigarh,1767,3053934.0
chandigarh,2024,1,chandigarh,1730,3143984.0
chandigarh,2024,2,chandigarh,1798,3177315.0
chandigarh,2024,3,chandigarh,1991,3445738.0
chandigarh,2024,4,chandigarh,2095,3729932.0
chhattisgarh,2020,2,raipur,410,81039.0
chhattisgarh,2020,3,raipur,1324,395561.0
chhattisgarh,2020,4,raipur,854,518623.0
chhattisgarh,2021,1,raipur,1026,542296.0
chhattisgarh,2021,2,raipur,1208,819324.0
chhattisgarh,2021,3,raipur,1145,798270.0
chhattisgarh,2021,4,raipur,1504,1759887.0
chhattisgarh,2022,1,raipur,1650,2255466.0
chhattisgarh,2022,2,raipur,1773,2243228.0
chhattisgarh,2022,3,raipur,2103,2618098.0
chhattisgarh,2022,4,raipur,2894,3964532.0
chhattisgarh,2023,1,raipur,2822,3781934.0
chhattisgarh,2023,2,raipur,2650,3689547.0
chhattisgarh,2023,3,raipur,3101,4008990.0
chhattisgarh,2023,4,raipur,4216,6830052.0
chhattisgarh,2024,1,raipur,4431,6662939.0
chhattisgarh,2024,2,raipur,3646,6000577.0
chhattisgarh,2024,3,raipur,3867,6026487.0
chhattisgarh,2024,4,raipur,5081,8313161.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,dadra and nagar haveli,595,90317.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,dadra and nagar haveli,167,44815.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,daman,115,95653.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,daman,234,150144.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,dadra and nagar haveli,221,107039.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli,191,125786.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,dadra and nagar haveli,244,207499.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,dadra and nagar haveli,281,337073.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,dadra and nagar haveli,260,354974.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,dadra and nagar haveli,519,593259.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,dadra and nagar haveli,610,762921.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,dadra and nagar haveli,598,810733.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,dadra and nagar haveli,492,621719.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,dadra and nagar haveli,600,777222.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,dadra and nagar haveli,833,1306915.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,dadra and nagar haveli,873,1200123.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,dadra and nagar haveli,640,869291.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,dadra and nagar haveli,689,926765.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,dadra and nagar haveli,1045,1494562.0
delhi,2020,2,west,2159,341511.0
delhi,2020,3,west,1250,330947.0
delhi,2020,4,west,1383,1065762.0
delhi,2021,1,west,2017,1508820.0
delhi,2021,2,west,1965,1709029.0
delhi,2021,3,west,2246,2081839.0
delhi,2021,4,west,5047,5302169.0
delhi,2022,1,west,4368,5442041.0
delhi,2022,2,west,3733,4528416.0
delhi,2022,3,west,5208,5873812.0
delhi,2022,4,west,6947,8360376.0
delhi,2023,1,west,6429,8754573.0
delhi,2023,2,west,5862,7931949.0
delhi,2023,3,west,6673,8338655.0
delhi,2023,4,west,7829,10545733.0
delhi,2024,1,west,7237,10552936.0
delhi,2024,2,west,6150,9059574.0
delhi,2024,3,west,6568,9409580.0
delhi,2024,4,west,9538,13105331.0
goa,2020,2,north goa,181,37838.0
goa,2020,3,north goa,401,115163.0
goa,2020,4,north goa,351,398099.0
goa,2021,1,north goa,514,464207.0
goa,2021,2,north goa,561,531664.0
goa,2021,3,north goa,668,825408.0
goa,2021,4,north goa,1203,1604306.0
goa,2022,1,north goa,1369,2131215.0
goa,2022,2,north goa,2018,3006451.0
goa,2022,3,north goa,1669,2298586.0
goa,2022,4,north goa,2517,3662258.0
goa,2023,1,north goa,2130,3216159.0
goa,2023,2,north goa,2231,3373064.0
goa,2023,3,north goa,2161,3229062.0
goa,2023,4,north goa,2725,4320025.0
goa,2024,1,north goa,2803,4037155.0
goa,2024,2,north goa,2752,4045983.0
goa,2024,3,south goa,2836,4097331.0
goa,2024,4,south goa,3426,4867109.0
gujarat,2020,2,ahmadabad,2282,396800.0
gujarat,2020,3,ahmadabad,2682,655107.0
gujarat,2020,4,ahmadabad,2306,1404202.0
gujarat,2021,1,ahmadabad,2902,1664753.0
gujarat,2021,2,ahmadabad,3074,2177028.0
gujarat,2021,3,surat,3409,2501335.0
gujarat,2021,4,ahmadabad,4857,5269395.0
gujarat,2022,1,ahmadabad,6393,7847666.0
gujarat,2022,2,ahmadabad,6962,8565312.0
gujarat,2022,3,ahmadabad,8499,9788819.0
gujarat,2022,4,ahmadabad,9650,12572383.0
gujarat,2023,1,ahmadabad,8530,11389837.0
gujarat,2023,2,ahmadabad,9078,11920370.0
gujarat,2023,3,ahmadabad,13645,16204152.0
gujarat,2023,4,ahmadabad,10344,16047139.0
gujarat,2024,1,ahmadabad,10018,14364566.0
gujarat,2024,2,ahmadabad,10341,15547955.0
gujarat,2024,3,ahmedabad,12184,17553288.0
gujarat,2024,4,ahmedabad,18268,25165090.0
haryana,2020,2,gurugram,2571,438481.0
haryana,2020,3,gurugram,1999,454846.0
haryana,2020,4,gurugram,2380,1626450.0
haryana,2021,1,gurugram,3377,2003697.0
haryana,2021,2,gurugram,3238,2521099.0
haryana,2021,3,gurugram,4501,3651728.0
haryana,2021,4,gurugram,5951,6492219.0
haryana,2022,1,gurugram,6642,8138262.0
haryana,2022,2,gurugram,6554,7627997.0
haryana,2022,3,gurugram,10085,10744733.0
haryana,2022,4,gurugram,11347,14333166.0
haryana,2023,1,gurugram,10981,15057940.0
haryana,2023,2,gurugram,11759,15891257.0
haryana,2023,3,gurugram,13467,16796070.0
haryana,2023,4,gurugram,14118,20950373.0
haryana,2024,1,gurugram,14505,21783690.0
haryana,2024,2,gurugram,12964,18926670.0
haryana,2024,3,gurugram,14956,21502434.0
haryana,2024,4,gurugram,16973,25145012.0
himachal-pradesh,2020,2,solan,97,19714.0
himachal-pradesh,2020,3,solan,132,38040.0
himachal-pradesh,2020,4,solan,162,88870.0
himachal-pradesh,2021,1,solan,248,140127.0
himachal-pradesh,2021,2,solan,243,196231.0
himachal-pradesh,2021,3,solan,391,390500.0
himachal-pradesh,2021,4,kangra,535,1087881.0
himachal-pradesh,2022,1,kangra,674,1204389.0
himachal-pradesh,2022,2,kangra,669,1348463.0
himachal-pradesh,2022,3,kangra,823,1348052.0
himachal-pradesh,2022,4,kangra,1085,2218111.0
himachal-pradesh,2023,1,kangra,950,1883388.0
himachal-pradesh,2023,2,kangra,979,2087628.0
himachal-pradesh,2023,3,kangra,998,2023047.0
himachal-pradesh,2023,4,kangra,1319,3070701.0
himachal-pradesh,2024,1,kangra,1303,2449390.0
himachal-pradesh,2024,2,kangra,1292,2408760.0
himachal-pradesh,2024,3,kangra,1280,2577841.0
himachal-pradesh,2024,4,kangra,1686,3420558.0
jammu-&-kashmir,2020,2,jammu,90,20793.0
jammu-&-kashmir,2020,3,jammu,178,57768.0
jammu-&-kashmir,2020,4,jammu,220,234831.0
jammu-&-kashmir,2021,1,jammu,330,366886.0
jammu-&-kashmir,2021,2,jammu,371,621718.0
jammu-&-kashmir,2021,3,jammu,475,624158.0
jammu-&-kashmir,2021,4,jammu,918,1563386.0
jammu-&-kashmir,2022,1,jammu,974,1927670.0
jammu-&-kashmir,2022,2,jammu,1181,1988901.0
jammu-&-kashmir,2022,3,jammu,1674,2443103.0
jammu-&-kashmir,2022,4,jammu,1879,3260604.0
jammu-&-kashmir,2023,1,jammu,1657,3092481.0
jammu-&-kashmir,2023,2,jammu,1710,3178077.0
jammu-&-kashmir,2023,3,jammu,1802,2956782.0
jammu-&-kashmir,2023,4,jammu,2185,4418006.0
jammu-&-kashmir,2024,1,jammu,2285,4279724.0
jammu-&-kashmir,2024,2,jammu,2025,3825224.0
jammu-&-kashmir,2024,3,jammu,2214,4321501.0
jammu-&-kashmir,2024,4,jammu,2381,4423225.0
jharkhand,2020,2,dhanbad,741,134652.0
jharkhand,2020,3,dhanbad,1459,365170.0
jharkhand,2020,4,ranchi,670,559639.0
jharkhand,2021,1,ranchi,1026,734770.0
jharkhand,2021,2,ranchi,1116,1206771.0
jharkhand,2021,3,ranchi,1484,1611727.0
jharkhand,2021,4,ranchi,2151,2693792.0
jharkhand,2022,1,ranchi,2342,3350440.0
jharkhand,2022,2,ranchi,2225,3046609.0
jharkhand,2022,3,ranchi,3281,4087473.0
jharkhand,2022,4,ranchi,3465,4954150.0
jharkhand,2023,1,east singhbhum,3445,4138971.0
jharkhand,2023,2,east singhbhum,4220,4665989.0
jharkhand,2023,3,ranchi,4543,5962408.0
jharkhand,2023,4,ranchi,4651,7441219.0
jharkhand,2024,1,ranchi,4909,7487602.0
jharkhand,2024,2,ranchi,4661,7298351.0
jharkhand,2024,3,ranchi,5026,7826939.0
jharkhand,2024,4,east singhbhum,5693,7616882.0
karnataka,2020,2,bengaluru urban,20040,3301769.0
karnataka,2020,3,bengaluru urban,32192,6940765.0
karnataka,2020,4,bengaluru urban,18485,15922383.0
karnataka,2021,1,bengaluru urban,21606,17636524.0
karnataka,2021,2,bengaluru urban,21918,19572756.0
karnataka,2021,3,bengaluru urban,27498,26210017.0
karnataka,2021,4,bengaluru urban,44650,50064816.0
karnataka,2022,1,bengaluru urban,57549,71700148.0
karnataka,2022,2,bengaluru urban,57934,69731242.0
karnataka,2022,3,bengaluru urban,64593,79303480.0
karnataka,2022,4,bengaluru urban,78817,101938016.0
karnataka,2023,1,bengaluru urban,75238,103829030.0
karnataka,2023,2,bengaluru urban,69812,99096628.0
karnataka,2023,3,bengaluru urban,81520,109497225.0
karnataka,2023,4,bengaluru urban,88349,133137089.0
karnataka,2024,1,bengaluru urban,90180,142519454.0
karnataka,2024,2,bengaluru urban,74985,126101324.0
karnataka,2024,3,bengaluru urban,96935,156230238.0
karnataka,2024,4,bengaluru urban,95390,159224823.0
kerala,2020,2,ernakulam,418,93852.0
kerala,2020,3,ernakulam,2380,725788.0
kerala,2020,4,ernakulam,1310,892676.0
kerala,2021,1,ernakulam,1252,1016580.0
kerala,2021,2,ernakulam,1939,1728254.0
kerala,2021,3,ernakulam,2041,2178118.0
kerala,2021,4,ernakulam,3397,4987028.0
kerala,2022,1,ernakulam,6248,10184076.0
kerala,2022,2,ernakulam,6138,9888302.0
kerala,2022,3,ernakulam,9029,13521423.0
kerala,2022,4,ernakulam,11176,16851440.0
kerala,2023,1,ernakulam,11073,17476806.0
kerala,2023,2,ernakulam,10598,16600162.0
kerala,2023,3,ernakulam,12004,19154183.0
kerala,2023,4,ernakulam,13336,21283249.0
kerala,2024,1,ernakulam,12981,20575531.0
kerala,2024,2,ernakulam,11149,18695182.0
kerala,2024,3,ernakulam,14031,23407883.0
kerala,2024,4,ernakulam,15903,25255702.0
ladakh,2020,2,kargil,11,1845.0
ladakh,2020,3,leh ladakh,18,4376.0
ladakh,2020,4,leh ladakh,25,33631.0
ladakh,2021,1,leh ladakh,22,29962.0
